like_count,quote_count,reply_count,retweet_count,text,topic,sentiment
17,0,0,6,"Powerful words that culminated into action. Thank you @NAkufoAddo for the economic transformation albeit the ravages imposed by Covid-19.
#AfricanOfTheYear https://t.co/8oudhI3cYH",pandemic,neutral
1,0,0,0,"GUYS KEEP ASKIN WHY IS THE MARKET GETTIN HIT

IT'S THE TAPER NOT COVID

EEVRY MONTH THE FED WOULD INFUSE A TON OF CASH INTO THE MARKET NOW THEY ARE TAPERING OTHERWORDS STOPPIN THE INFUSION OF CASH

THAT DRIES UP LIQUIDITY, NO MONEY COMIN IN MARKETS GO DOWN

HOPE THAT HELPS

FJB",COVID,negative
32,0,9,5,"Some Channels are again at their games spreading covid panic and recommending third dose.
Am I wrong in thinking that money spent in research (phoren)countries is behind new hype ?",conspiracy theories,negative
1,0,0,4,"I had a slight fever due to the vaccine so I couldn’t vote yesterday :((

I vote for #MAMAVOTE #twice",vaccination,neutral
2,0,0,0,How did they find a way to fuck this up? 🤦‍♂️https://t.co/JGg9CDoZdY,vaccination,negative
0,0,0,1,"Is half dose standard  for booster vaccines? BBC news site saying half doses being considered to make supplies go further. However at my local, very large, vaccination centre it was half doses for everyone. Lady doing my vaccine said it was most effective way to raise antibodies",vaccination,neutral
0,0,0,0,Why will no one listen? #covd19 #vaccinemandate #mrnavaccines #maloneistheexpert #robertmalone https://t.co/JZjGqqTrmR,vaccination,negative
1,0,0,1,$5000 fine stops covid. What moron makes up these rules. https://t.co/qG54PXclo8,travel,negative
0,0,0,0,U.S. white supremacists blamed for targeting Aboriginal Australians with covid vaccine misinformation https://t.co/UOXUvoeDk1 #Australia,vaccination,neutral
0,0,0,0,"This is assuming that he doesn't get #COVID (or hasn't already) and get hit extremely with the known potential side effects on the male reproductive anatomy (i.e., ED). No ""Unvax'd Sperm"" is going to be available to the ladies from this clown.

(src: https://t.co/AIaL3ZGUCT) https://t.co/gywjRxPs3a",vaccination,positive
3,0,1,0,I don’t think that I had Scotland blaming the new COVID variant on Steps.  The laughable part is that it was TEN DAYS AGO!,COVID,negative
0,0,0,0,"As of: Fri Dec 3 14:32:04 2021

Appointments found at CVS locations in San Diego!

Schedule here:
https://t.co/2f80GMQQ8o",vaccination,neutral
1,0,0,0,"Vaccine mandates, CMS IFR under fire https://t.co/Jl8gwn7Jaw | by @wallerlansden?lang=en",vaccination,neutral
1,0,0,0,Covid negative but also severaly annoyed by anyc organizers,testing,negative
1,0,0,0,Speaking of the US MARSHALL'S I can't wait until Covid is over so those outstanding judgements against y’all gets pushed through. You're going to the pokey 😭😭😭 keep that butthole tight https://t.co/Ugb0UzMtFF,other,negative
3,0,1,7,"Amar Shabazz allegedly posted a video of multiple fake cards on two of his social media accounts with the caption “Covid19 vaccination card who want one. $75 a pop."" https://t.co/YpmmubdUsl",restrictions,neutral
30,2,4,5,"A New York-based company has just filed to patent the world’s first vaccine that would protect against both COVID and the seasonal flu, and it would be administered as a nasal spray. https://t.co/ZfRmdXFWpS",vaccination,neutral
1,0,0,3,"An instructive must-read from @JosephEStiglitz, Felipe Carvalho &amp; Achal Prabhala about Brazil's efforts to legislate around monopoly-enforced artificial vaccine scarcity.

One infuriating detail: Brazil's efforts led pharma-industry associations to threaten their vaccine supply. https://t.co/a5ztuHk5f7",other,negative
0,0,0,0,"COVID test was negative, so I guess this new hacking cough and bone weariness is the common cold making its big comeback. Bit over-dramatic if you ask me.😷",COVID,negative
72,1,61,21,How to reinstate your COVID-19 SRD grant @The_DSD @PostofficeSa @nda_rsa @GovernmentZA #SASSACARES https://t.co/JA4ZYmJiwc,other,neutral
1,0,2,1,"As SA edges closer to rules preventing antivaxxers from entering restaurants or public spaces, the attempts to tar this as ‘Nazism’ are on the rise. If only Hitler had merely banned Jews from his eateries, writes @robrose_za. https://t.co/ibAYtnmQM4",restrictions,neutral
0,0,0,0,"Finding out what is cause it means completely eliminating a condition that caused""73 deaths out of nearly 50 million doses administered in the United Kingdom""

Scientists find clues to what triggers rare blood clots in AstraZeneca coronavirus vaccine https://t.co/mcehpgx54Q",vaccination,neutral
19,5,1,11,"NHS forecasts 230,000 extra cases of PTSD in England due to Covid https://t.co/8h7Pcq5xoH",pandemic,neutral
0,0,0,0,"The theme for International Day of PwD-2021' is Leadership and participation of persons with disabilities toward an inclusive, accessible &amp; sustainable post-COVID 19 world'. The UN has adopted this theme to highlight the issues faced by disabled people during the global pandemic. https://t.co/wAgaV5FnfJ",pandemic,neutral
1,0,0,0,It’s taking them long enough. We’ve been taking about this treatment for Covid for two years. https://t.co/K6Aj5Aia0r,COVID,neutral
8,0,0,2,"The recent COVID-19 outbreak in the Northern Territory has prompted a spike in Aboriginal vaccination rates in the East Kimberley, as the reality of the virus in cross-border communities hits home. https://t.co/XNNagiWGup #wanews https://t.co/iBkRvw5Ine",vaccination,neutral
0,0,0,0,Omicron variant: Will there be a third Covid wave in India? https://t.co/QhjuWMDS25,COVID,neutral
1,0,0,0,"District wise breakup of #COVID cases for 3rd December, 2021
@DiprMeghalaya
@NHMMeghalaya
@MeghalayaT https://t.co/3nbNI6OB1W",pandemic,neutral
0,0,0,0,"The Pink Bat speaks ""...there was “anecdotal evidence” from other confirmed cases around the world to show Omicron more easily infected fully vaccinated people.""
How's your vaccine working out for y'all  #inconvenient #LedByDonkeys 
https://t.co/BUeT2zis4z",vaccination,negative
0,0,0,0,"Biden wants to talk about the new Covid  Variant “Onmoncom” this frickin guy guy can’t even pronounce his new fear mongering variant. Biden is a sick pathetic joke!

#Omricon #Covid19UK #WearADamnMask @msnbc @cnnbrk @acosta @PressSec @pdoocy @foxnews",COVID,negative
1,0,1,1,"Thunder Bay adds 34 more COVID-19 cases, up to 127 active, most since April 7. https://t.co/a0dxxJzFnT",pandemic,neutral
0,0,0,0,I’m predicting more vaccine mandates across the board next year… https://t.co/fs2dNmzFxR,restrictions,neutral
0,0,0,0,Study suggests past COVID infection may not fend off omicron https://t.co/nkwF0kWU2i,COVID,neutral
0,0,0,1,"Non-compliance with orders is a major issue.

""While, overall, the vast majority of service members have complied with the Pentagon’s vaccination mandate, even a few percent of the military’s 2.1 million troops translates to tens of thousands of people."" https://t.co/rrqpujLsEp",vaccination,neutral
3,0,0,0,"“Fuck covid” -Namjoon

Ok goodnight time to sleep please tell me if Seokjin will go live 💜🥳☺️",COVID,neutral
0,0,0,0,"Good Move 🙌🏽 

Stepping out in Telangana? Wear mask &amp; carry vaccination certificate.
https://t.co/hATpPhz9tV

via @GoogleNews",restrictions,neutral
0,0,1,0,"Agreed! #COVID19 is complex. If you have access to vaccines, take them and also help advance vaccine equity. Without vaccinations, we will never get rid of variants and outbreaks. https://t.co/DzCcndff2x",vaccination,positive
0,0,0,0,UAE: 54 new COVID cases and 79 recoveries reported https://t.co/EM2HB6kukD,pandemic,neutral
0,0,2,1,"80 HOUSE REPUBLICAN JUST VOTED TO FUND FEDERAL VACCINE DATABASE
ℹ️ This dangerous bill will enable a federal vaccine database to track unvaccinated Americans, crack down on fake vaccine cards and will increase vaccine segregation. The GOP is full of traitors and cowards.👇",restrictions,negative
4,0,0,2,"Biden laid out his strategy to fight the Omicron and Delta coronavirus variants over the winter, including free and insurer-funded at-home COVID-19 testing and new requirements for international travelers. https://t.co/KIBDo1ucoH",COVID,neutral
0,0,0,0,covid and its variants really coming after us like bowser and the koopalings,COVID,negative
3,0,0,1,namjoon having beef with the whole covid and their descendants is just hilarious https://t.co/qR3G41L6Bg,COVID,neutral
0,0,0,0,"NFL suspends three players, including Bucs' Antonio Brown, for violating Covid-19 protocols - CNN https://t.co/kfnzbUZw5d",restrictions,neutral
0,0,0,0,"Stunning waste: Unemployment fraud during COVID cost more than triple total benefits paid in 2019 

At least 10% (87 billion) of all unemployment benefits paid during the pandemic were lost to fraud.
https://t.co/uDtBqV5PW3 via @JustTheNews",other,neutral
0,0,0,0,Germany to Ban Unvaccinated People From ‘Culture and Leisure Nationwide’ as COVID Fears Worsen https://t.co/pHLuQ0Lu7A,restrictions,neutral
0,0,0,0,BREAKING: CMS recently issued a memo suspending enforcement of their vaccine mandate on health care workers following our win in court halting the mandate on Monday. https://t.co/NfZi4BkOjC,restrictions,neutral
2,0,3,0,Accidentally shot the vaccine on the wrong arm 💀,vaccination,neutral
0,0,0,0,i want to go but im so terrified now cause of the new strain ahhhh if the vaccine works against omicron ill definitely go but...,COVID,negative
0,0,0,0,"NFL COVID-19 Testing Results and Vaccination Rates: Nov. 14- Nov. 27, 2021 - https://t.co/8DsVLZX6UE https://t.co/cQssV9wtTF",testing,neutral
0,0,1,0,"Please take a minute to watch this and ask yourself, is this really about public health and Covid control? This is Australia’s reality right now. Why can’t you isolate at home if you are a contact? Because these govt mandates aren’t really about Covid and it never was. https://t.co/z4yMAFUqHN",conspiracy theories,negative
2,0,0,0,"$NQ and $ES Both lowest % of stocks above 200dma since Covid right now, $NQ still holding up slightly better on 100 and under ma's we've been trending lower for a while without indices reflecting",pandemic,neutral
0,0,0,0,"Board Radio Laghari (Alfa Romeo): Man what the fuck is Janssen doing, is he playing flight simulator or something?",other,neutral
505,16,52,144,"1/ Canada's National Advisory Committee on Immunization (NACI) recommending the expansion of 3rd dose #COVID19 vaccine eligibility, now including those &gt;18 years, based on individual/ jurisdictional risk. https://t.co/DIcJ8oMR2q",vaccination,neutral
28,2,3,1,"As Ontario COVID numbers go up again, it’s hard not to feel down. But we must keep our spirits strong &amp; be grateful for exceptional services as demonstrated by @DJordanClark , a pharmacist who makes house visits for boosters to patients who break their knee! @ShopprsDrugMart",pandemic,positive
1,0,1,0,"The New York Times: Latest on Omicron Variant and Covid-19: Live News.
https://t.co/rbc1bNdvIH

via @GoogleNews",COVID,neutral
0,0,1,0,Can anyone tell me what is in the Covid vaccine???,vaccination,negative
0,0,0,0,"He doesn't need one. 
He's the one who GIVES ""COVID-19""s https://t.co/xZKmTzrMK9",COVID,neutral
1,1,0,0,"A ""DECAYED"" WORLD FULL of SELFISH, REBELLIOUS, VERY NEGLIGENT, MEISM ATTITUDES, LACK of LOVE For NEIGHBORS OR HUMANITY:
IS (ONLY REASONS):
This MILDER VIRUS AT 1ST Was (NOT) STAMPED OUT!!
TAKE *RESPONSIBILITY For *YOUR PART in This!!
SOON Will POWERFULLY BECOME
=VACCINE RESISTENT https://t.co/wTf19jqEf7",pandemic,negative
3,0,1,0,"Thanks, J.J. https://t.co/IRVF0hU2jq",other,positive
0,0,0,0,Lee Health will not continue to enforce the vaccine mandate on employees https://t.co/OjLddyjjnd,restrictions,neutral
3,0,1,0,"UPDATE:

The @US_FDA and @CDCgov have said that any adult over the age of 18, and who is six months from their second Moderna or Pfizer shot or two months from the Johnson &amp; Johnson shot, should get a booster shot.

#COVID19 #CovidVaccine https://t.co/gjrJP2iwbV",vaccination,neutral
0,0,0,0,"Cyclone Jawad Updates: Andhra, Odisha, Bengal Brace for Heavy Rains as Storm Nears Coast; Trains Cancelled, NDRF on Alert - Coronavirus Updates https://t.co/A68TPvnkid corona live tracker, corona outbreak, coronavirus, coronavirus updates, covid-19, covid-19 tracker, covid19 ou… https://t.co/HJaovNQh2C",pandemic,neutral
8,0,0,1,‘It’s about time’: Local doctors say surge in at-home tests will help in fight against COVID-19 https://t.co/5YPzMPecEC,testing,positive
3,0,5,0,Omicron coronavirus variant found in 5 US states https://t.co/aNrGrAZjk7,COVID,neutral
15,1,1,1,"BioNTech’s boss, Ugur Sahin, remains sanguine about Omicron
THE BOSS of the firm that invented the first effective vaccine against the virus that causes covid-19 is refusing to panic about the spread of Omicron, its newest variant https://t.co/59xlMvAPec",pandemic,positive
5,0,1,2,De Blasio requiring COVID vaccines for employees at private schools  https://t.co/1ljMpdKNVc,restrictions,neutral
0,0,0,0,Israeli Doctor Says He Contracted Omicron in London. Did New Covid Variant Emerge Before Detection in Africa? The Israeli doctor is one of the first to be infected with the omicron variant of the coronavirus. He was in Lo... #World by #News18 https://t.co/NdeuubLAtG,COVID,neutral
0,0,0,0,"“There are zero cases of COVID — of Omicron in Zimbabwe, in Namibia, in Lesotho, in Mozambique,” Ateba asked. “What justifies imposing a travel ban on countries that have zero cases of the Omicron variant? https://t.co/EvEgxO4v9X",restrictions,negative
0,0,0,0,"Growth For Holography In 2022 As Covid and Other Threats Continue to Impact... Read more at: https://t.co/O1zHEWX76U

#Holography #Covid #Pandemic #illicit_trade #counterfeiting #authentication #IHMA https://t.co/dKkln2FBZ8",COVID,neutral
0,0,0,0,"Twitter and Facebook said they have removed thousands of accounts connected to Chinese propaganda campaigns. A large number of the accounts promoted Covid conspiracy theories and undermined reports of human rights abuses in Xinjiang.
https://t.co/KGhC79fyp4",conspiracy theories,neutral
0,0,1,0,"Reaction to Covid’s latest strain has confirmed an unpalatable truth – while many embrace the idea of collaboration to fight the pandemic, they’re doing nothing tangible of any worth. Do we need an even greater crisis to rouse us?

#OmicronVarient https://t.co/n3CIy1fJgX",pandemic,neutral
11,0,1,2,"-New COVID-19 variant 
-Russia warns that military action in Ukraine is highly likely 
-Éric Zemmour announces his candidacy for presidency of France 
-Kyle Rittenhouse was acquitted 
-Ghislaine Maxwell trial is still going on
2022 is going to be an interesting year",COVID,neutral
6,0,0,3,"Let’s enjoy the festive season, by protecting ourselves &amp; our loved ones. 

🤒It’s not too late to book your free NHS #FluJab. Dr @Anna_L_Mitchell explains why the jab is important when you're steroid-dependent: https://t.co/Z3HrCdugj5

Get vaccinated. Get boosted. Get protected.",other,positive
0,0,0,0,"Questions that leftist snowflakes simply can not answer…
https://t.co/12NCC9rprR",vaccination,negative
0,0,1,0,"University of Johannesburg adopts mandatory Covid-19 vaccination policy..
#OmicronVarient @peche_africa 
https://t.co/NnLR38YTKW",vaccination,neutral
0,0,0,0,"Fully vaccinated Dana White contracts COVID-19, takes same treatment as Joe Rogan, 'feeling like a million bucks' in less than 24 hours https://t.co/8Jq0viOcTN",vaccination,negative
0,0,0,0,Michigan has most COVID cases in the nation in latest CDC data – FOX 2 Detroit https://t.co/PSPHz37hID,pandemic,neutral
0,0,0,0,"A New COVID Variant Discovered - SOUTH PARK: POST COVID https://t.co/bnjBHOtirn via @YouTube 

SouthparkStudio's: 'De Nieuwe Variant'  😅😉",COVID,neutral
0,0,0,0,"Fact Check

https://t.co/EfQgy63unF",vaccination,negative
0,0,1,0,"First, if you get the vaccine, you can get covid and spread it to both the vaccinated and unvaccinated so your logic doesn’t hold. 2nd, you don’t know the long term situation. Did you know at the start of the year that the vaccines would be ineffective to the point 6 mths later https://t.co/C6m9Deki1W",vaccination,negative
878,9,16,517,"Reader Alert: Majority Of Voters Worry About Vaccine Side Effects, Oppose Federal Mandates

Developing ... https://t.co/2bIE9tpqXQ",vaccination,neutral
0,0,0,0,"#Government  considering scientific evidences on vaccination of kids in 12 to 17 years group: MoS #health 

#TheWatchdogNews #vaccines #Covid_19 #kids #India 
https://t.co/sD3kEaRBBl",vaccination,neutral
1,0,0,0,"Perhaps they make a fair point. 
We should be comparing the perpetrators, methods, and objectives of universal mRNA vaccination to the Holodomor. https://t.co/MJhABTsEHi",vaccination,neutral
3,0,0,2,Quebec distributing rapid COVID-19 tests to parents with kids in daycare  https://t.co/5BfS9phUmr,testing,neutral
4,0,0,0,Day 5 of covid paramedics out yesterday couldn't breathe been put on antibiotics praying they kick in soon,COVID,neutral
2,0,0,1,https://t.co/1OaX12soe5 I'd prefer JOE ROGAN over Dr Fauci any day,conspiracy theories,neutral
19,0,3,2,"🎙 On the pod: Omicron 🦠 It's not an alien, it's a COVID variant and it might just affect some market sectors, but which ones? 🤔

@SamNorth_eToro | @JoshG_eToro",COVID,neutral
0,0,0,0,"Texas House Republicans urge court to quash Biden’s large-employer COVID-19 shot order https://t.co/hssWLSrhLt "" HOW'S MARS COMING ALONG ? """,vaccination,negative
0,0,1,0,Vaccines minister Maggie Throup says Brits will ‘probably’ need annual Covid jabs for years https://t.co/aaoEQVXOvx,vaccination,neutral
0,0,0,0,#VaccinationandImmunization #RumorsandMisinformation Anti-Vaccination Ad Mysteriously Appears at N.Y.C. Bus Stop - The New York Times https://t.co/i83yVPX4LM https://t.co/MeVxng1pU5,vaccination,neutral
5,0,0,0,"I can tell I wasn't 100% at lunchtime - just realised that I completely forgot to put the feta into my potato salad. I thought there was something missing, but I couldn't tell what it was. Damnit, COVID, you deprived me of cheese!",COVID,negative
0,0,0,0,"There goes that argument, so I guess our interpretation of the constitution and our right has been completely wrong according to the ""experts"" https://t.co/Ib1uDb2CeH",restrictions,negative
15,1,13,0,Ahahahahahahahaha alright boys uhhhh turns out some of my friends caught covid and I had class with them today so uhhhhhhhhhh what do I do?????,COVID,neutral
2,0,0,0,"the anxiety I feel every time I get a “Covid Update” email from my dad’s memory care residence… whew. But so far so good, Papa Rourke remains ok. #TeamLou https://t.co/jRFFJbrOEE",pandemic,negative
0,0,0,0,"Comics are so funny..

A New COVID Variant Discovered - SOUTH PARK: POST COVID https://t.co/vNzZhjcTf4 via @YouTube",COVID,neutral
0,0,0,0,Biden admin's Covid plans getting hammered in courts: Jonathan Turley https://t.co/WWtdAooVDk #trending,restrictions,negative
1,0,2,1,"Three teenagers arrested after escaping from Australian Covid quarantine compound https://t.co/1Cz7GZrGlV 
Three aboriginal children 15,16,17 arrested by White Gestapo and returned to concentration camp.",restrictions,negative
6,0,1,1,"Latest U.S. Travel Rules And Restrictions: Biden Announces Tighter Covid Testing Rules – Forbes Advisor

For anyone like me who has family planning to visit from outside the country. New rule is testing has to be done one day before travel.  https://t.co/wLF5ZflZHs",restrictions,neutral
0,0,0,0,"(READ) Hundreds of Google employees push  back on Covid-19 vaccine mandate

https://t.co/BYPc8BnhZz

@SharylAttkisson",restrictions,neutral
0,0,0,0,"India’s Cumulative COVID-19 Vaccination Coverage exceeds 125.75 Cr https://t.co/iNIhESOoXd

https://t.co/lCneeLfoKU",vaccination,neutral
0,0,0,0,"""San Francisco residents prepare to hunker down."" by BY ERIN WOO, SHAWN HUBLER AND JILL COWAN via NYT New York Times https://t.co/13r8M9ZF89",pandemic,neutral
0,0,0,0,"Update on COVID-19 Vaccine Availability in States/UTs  https://t.co/6svJ9zjdFF

https://t.co/lCneeLfoKU",vaccination,neutral
0,0,0,0,"BBCBusiness ""Businesses scrap big company Christmas parties over Omicron Covid variant fears https://t.co/l8xJPh0fkm""",pandemic,neutral
0,0,0,0,BHP's COVID vax policy lost to union court case https://t.co/8OohuAgQFa,vaccination,neutral
0,0,0,0,"COVID-19 UPDATE  https://t.co/yLhe9IWKF5

https://t.co/lCneeLfoKU",COVID,neutral
0,0,0,0,"""Will High Vaccination Rates Help Spain Weather New Variant?"" by BY NICHOLAS CASEY via NYT New York Times https://t.co/D9Opd56jdq",pandemic,neutral
0,0,0,0,"""The E.U.’s health agency says Omicron could be dominant in Europe by spring."" by BY MONIKA PRONCZUK, NIKI KITSANTONIS, RAPHAEL MINDER, HARI KUMAR AND MEGAN SPECIA via NYT New York Times https://t.co/4llJDiuOwF",COVID,neutral
0,0,0,0,#Omicron is a result of inequity in #vaccine distribution https://t.co/Ccp8jFE2NQ,COVID,neutral
0,0,0,2,Covid-19 Vaccines For Malaysia Cheaper Than Belgium: PAC Report https://t.co/32KbKVivb0,vaccination,neutral
2,0,0,1,"The 20s will be the COVID decade, one of the worst, most destructive moral panics in human history.",pandemic,negative
0,0,0,0,"COVID-19 UPDATE FOR VIRGINIA: 12/3/21
Total Cases: 976,599  New Cases: 2,598
Cases in the Last 7 Days: 9,390
Total Hospitalizations: 39,897  New Hospitalizations: 63
Total Deaths: 14,752  New Deaths: 11
FIND A FREE COVID-19 VACCINE OR BOOSTER NEAR YOU AT https://t.co/N8WknqBqAf",pandemic,neutral
4,0,0,0,"I'm biased, sure. Something funny I don't know if I've mentioned about this day is that Erica got her 2nd vaccine that afternoon and it knocked her out. She was asleep when the post went viral and woke up in shock to 2000+ ""MANK???"" tweets and lots of strangers calling her hot. https://t.co/HezUvUt1qo https://t.co/Kuvw0iPCNK",vaccination,neuttral
0,0,0,0,"More Than 400 Studies on the Failure of Compulsory Covid Interventions ⋆ Brownstone Institute

Another point of view. https://t.co/o7ztvIQv7P",restrictions,neutral
0,0,0,1,President Muhammadu Buhari Wednesday in Abuja urged a stronger emphasis on people-to-people relations https://t.co/xkxr4hDRYj #breakingnews #cyrilramaphosa #listofcovidvariants,restrictions,neutral
0,0,0,0,Johns Hopkins Works to Reverse COVID Disinformation for Kids🆘 https://t.co/Nk3HiOORBM,pandemic,neutral
0,0,0,0,U.S. heads into Labor Day with Covid vaccines but a substantially worse outbreak than this time last year – CNBC https://t.co/yHWtoGTbNK,pandemic,neutral
0,0,0,0,"""Catering to anti-vaccine hysteria, doing all they can to keep the pandemic going, has become something Republicans do to remain in good standing within the party""",restrictions,positive
2,0,0,0,"I wish the public could be galvanized into conquering Covid-19 they same way they conquer beers at a sporting event.

#WOTDbyMCB (Guest-post by @Catatonic)",pandemic,negative
3,0,3,0,"This time he means it but for realsies.

https://t.co/7t0XBrzSia",restrictions,negative
1,0,0,0,Where is the outrage of the British citizens to the whole mess? Not just around Covid! https://t.co/KKRfozFo4A,pandemic,negative
1,0,0,0,"#Country #Music #Radio #internet
Country Radio  LIVE 12 Noon Thurs thru Monday 24/7 
https://t.co/FHlEP44GYK Orbison with the Royal Philharmonic OrchestraRoy Orbison with the Royal Philharmonic Orchestra - Crying https://t.co/sTptAMEZLa",other,neutral
4,0,0,0,"Facebook sold ads comparing vaccine to Holocaust

@donie 
https://t.co/Jtajuo9wJe",vaccination,negative
0,0,0,0,"COVID-19 penetrates bio-bubble, one person tests positive | #socialmedia https://t.co/MDcpEEg9hf",testing,neutral
0,0,0,0,"#BSChinese Doctors Admit They Have the CURE For COVID … ALL STRAINS- 5,200,000 DEATHS LATER - https://t.co/clvZg0yFCB",COVID,negative
0,0,0,0,"As Omicron Variant Cases Pop Up in U.S., Officials Launch Efforts to Prevent COVID Surges https://t.co/s16xiAC6Sj",restrictions,neutral
5,1,1,0,Had my Pfizer booster dose today.. வாழ்க Bahrain 🇧🇭 https://t.co/wSdtT3PGbd,vaccination,positive
0,0,0,0,"🤡😂Look at these Morons: Dr Angelique Coetzee told the World it is Mild, @CyrilRamaphosa Moaning   About Banned Flights &amp; Now this 🤣F**off dont tell us who cant see, NO Believes this BS! #COVID19 #Omicron #OmicronVariant #4thWave 
https://t.co/hgOPggU5HZ via @news24",restrictions,negative
1,0,0,0,Only in February are thy planning to bring in compulsory vaccination if it gets votes in https://t.co/z11xFnCtnA,restrictions,positive
0,0,0,1,Mi seguimiento 📡 sobre #eHealth Omicron impact may be less severe due to vaccination – Health Ministry: https://t.co/Www95TRHns,vaccination,positive
1,0,0,0,"Know what “covid” taught us? Research money buys a lot of research, and research jobs go away when it goes away, so they better come out with results that encourage the idea it NEVER goes away 🤷‍♂️",conspiracy theories,negative
0,0,0,0,"""Leadership and participation of persons with disabilities toward an inclusive, accessible, and sustainable post-COVID-19 world"" #InternationalDayOfPersonsWithDisabilities https://t.co/rXxEyC2CyM",pandemic,positive
2,0,0,0,"I would have preferred covaxin which was harmless, but it was not available. At least , India resisted moderna type dangerous vaccine .",vaccination,negative
3,0,0,0,"Never forget what this country is losing on the daily from #Covid; people any country cannot afford to lose. Why do we let this happen?
#GetVaccinatedNow 
#covidIsReal https://t.co/tp9xbRQ6tH",vaccination,positive
71,4,3,3,Seeing athletes like Antonio Brown and Aaron Rodgers lie their way around COVID makes me appreciate @KyrieIrving a little bit more,COVID,positive
